time,open,high,low,close,volume,mid
2026-08-30 02:00:00,0.71612,0.71636,0.71577,0.71596,3824.78,0.7159
2026-08-29 02:00:00,0.71672,0.71672,0.71672,0.71672,0.0,0.71641
2026-08-28 02:00:00,0.71961,0.72087,0.71559,0.71672,88230.7,0.71641
2026-08-27 02:00:00,0.71818,0.71983,0.71754,0.7196,67819.6,0.71956
2026-08-26 02:00:00,0.71647,0.71894,0.71603,0.71817,80002.27,0.71814
2026-08-25 02:00:00,0.71545,0.71691,0.71381,0.71648,75276.51,0.71643
2026-08-24 02:00:00,0.7172,0.71773,0.71409,0.71547,84405.44,0.71541
2026-08-23 02:00:00,0.71682,0.71721,0.71635,0.7172,4344.73,0.71714
2026-08-22 02:00:00,0.71735,0.71735,0.71735,0.71735,0.0,0.71711
2026-08-21 02:00:00,0.71194,0.71805,0.71193,0.71735,82504.25,0.71711
2026-08-20 02:00:00,0.71231,0.71333,0.71032,0.71192,106038.42,0.71188
2026-08-19 02:00:00,0.70819,0.71298,0.70672,0.71233,122058.39,0.71229
2026-08-18 02:00:00,0.71089,0.71203,0.70798,0.70815,64164.8,0.70812
2026-08-17 02:00:00,0.70856,0.71298,0.70855,0.71088,65556.71,0.71084
2026-08-16 02:00:00,0.70874,0.70935,0.70817,0.70855,2230.27,0.7085
2026-08-15 02:00:00,0.70865,0.70865,0.70865,0.70865,0.0,0.70838
2026-08-14 02:00:00,0.7064,0.70962,0.70558,0.70865,61901.56,0.70838
2026-08-13 02:00:00,0.70643,0.70677,0.70443,0.70639,74492.15,0.70636
2026-08-12 02:00:00,0.70644,0.70918,0.70545,0.70641,106906.87,0.70636
2026-08-11 02:00:00,0.70558,0.7072,0.70397,0.70644,96319.69,0.70638
2026-08-10 02:00:00,0.70626,0.70747,0.7053,0.70556,77188.48,0.70552
2026-08-09 02:00:00,0.70729,0.70739,0.70625,0.70626,5276.46,0.7062
2026-08-08 02:00:00,0.70694,0.70694,0.70694,0.70694,0.0,0.70674
2026-08-07 02:00:00,0.70335,0.70784,0.70227,0.70694,112044.16,0.70674
2026-08-06 02:00:00,0.70576,0.70607,0.70231,0.70336,93430.77,0.70331
2026-08-05 02:00:00,0.70468,0.70651,0.70402,0.70575,109085.25,0.7057
2026-08-04 02:00:00,0.69977,0.70501,0.69975,0.70468,104936.47,0.70464
2026-08-03 02:00:00,0.70459,0.70508,0.69844,0.69977,105616.16,0.69972
2026-08-02 02:00:00,0.70489,0.70509,0.70397,0.70459,8755.96,0.70454
2026-08-01 02:00:00,0.70238,0.70238,0.70238,0.70238,0.0,0.70224
2026-07-31 02:00:00,0.70252,0.70452,0.69919,0.70238,153760.63,0.70224
2026-07-30 02:00:00,0.69593,0.70338,0.69468,0.70251,182106.24,0.70246
