time,open,high,low,close,volume,mid
2026-08-30 02:00:00,1.15837,1.15895,1.15789,1.15889,3045.52,1.15888
2026-08-29 02:00:00,1.15857,1.15857,1.15857,1.15857,0.0,1.15842
2026-08-28 02:00:00,1.1654,1.16597,1.15781,1.15857,101442.88,1.15842
2026-08-27 02:00:00,1.16558,1.16602,1.16367,1.16539,68379.16,1.16537
2026-08-26 02:00:00,1.16746,1.16771,1.16422,1.16557,75488.4,1.16555
2026-08-25 02:00:00,1.16681,1.16797,1.16512,1.16745,78515.92,1.16743
2026-08-24 02:00:00,1.16824,1.16875,1.16554,1.16683,90602.25,1.16681
2026-08-23 02:00:00,1.16811,1.16827,1.16728,1.16826,2903.29,1.16825
2026-08-22 02:00:00,1.16812,1.16812,1.16812,1.16812,0.0,1.16798
2026-08-21 02:00:00,1.16877,1.17116,1.1669,1.16812,90420.56,1.16798
2026-08-20 02:00:00,1.16747,1.17108,1.16695,1.16877,115630.37,1.16876
2026-08-19 02:00:00,1.15765,1.16805,1.15702,1.16747,117767.36,1.16744
2026-08-18 02:00:00,1.1583,1.15885,1.15667,1.15763,65786.48,1.15761
2026-08-17 02:00:00,1.1574,1.16143,1.15712,1.1583,73245.37,1.15828
2026-08-16 02:00:00,1.15702,1.1576,1.15653,1.15739,2731.4,1.15738
2026-08-15 02:00:00,1.15707,1.15707,1.15707,1.15707,0.0,1.15694
2026-08-14 02:00:00,1.15341,1.15856,1.15323,1.15707,70032.95,1.15694
2026-08-13 02:00:00,1.15281,1.15456,1.1512,1.15342,66890.95,1.15339
2026-08-12 02:00:00,1.15438,1.15634,1.152,1.15282,73476.61,1.15279
2026-08-11 02:00:00,1.15464,1.155,1.15316,1.15437,62663.44,1.15435
2026-08-10 02:00:00,1.15557,1.15658,1.15402,1.15463,63875.3,1.15462
2026-08-09 02:00:00,1.15701,1.15703,1.15545,1.15557,3376.32,1.15556
2026-08-08 02:00:00,1.15612,1.15612,1.15612,1.15612,0.0,1.15585
2026-08-07 02:00:00,1.15241,1.15811,1.1518,1.15612,86286.97,1.15585
2026-08-06 02:00:00,1.15571,1.15599,1.15149,1.15243,68289.39,1.15241
2026-08-05 02:00:00,1.15323,1.15597,1.15269,1.15571,88968.76,1.1557
2026-08-04 02:00:00,1.15073,1.15344,1.15024,1.15322,75239.0359,1.15321
2026-08-03 02:00:00,1.15441,1.15564,1.15005,1.15072,93997.0,1.1507
2026-08-02 02:00:00,1.1552,1.15593,1.15423,1.15439,9707.71,1.15438
2026-08-01 02:00:00,1.15287,1.15287,1.15287,1.15287,0.0,1.15245
2026-07-31 02:00:00,1.15234,1.15476,1.14553,1.15287,127697.07,1.15245
2026-07-30 02:00:00,1.14671,1.15371,1.14345,1.15233,132466.39,1.15231
2026-07-29 02:00:00,1.13863,1.14752,1.13748,1.14671,114906.49,1.14669
2026-07-28 02:00:00,1.13696,1.14054,1.13535,1.13862,68259.91,1.13861
2026-07-27 02:00:00,1.1395,1.14184,1.13672,1.13694,79840.4296,1.13693
2026-07-26 02:00:00,1.14,1.14004,1.13885,1.13949,4294.05,1.13946
2026-07-25 02:00:00,1.13691,1.13691,1.13691,1.13691,0.0,1.13679
2026-07-24 02:00:00,1.13764,1.14013,1.13649,1.13691,72231.22,1.13679
2026-07-23 02:00:00,1.14117,1.14359,1.13641,1.13766,91740.15,1.13764
2026-07-22 02:00:00,1.14024,1.14219,1.13989,1.14117,70726.88,1.14115
2026-07-21 02:00:00,1.14161,1.14289,1.13976,1.14024,60349.48,1.14023
2026-07-20 02:00:00,1.14278,1.14497,1.14026,1.14161,77021.08,1.14159
2026-07-19 02:00:00,1.14321,1.14343,1.14239,1.14276,4811.16,1.14274
2026-07-18 02:00:00,1.14408,1.14408,1.14408,1.14408,0.0,1.14395
2026-07-17 02:00:00,1.14454,1.14523,1.14246,1.14408,73245.59,1.14395
2026-07-16 02:00:00,1.14701,1.14765,1.14314,1.14454,80560.83,1.14452
2026-07-15 02:00:00,1.14247,1.14827,1.14062,1.14701,100073.6,1.147
2026-07-14 02:00:00,1.13835,1.1463,1.13784,1.14247,118294.91,1.14244
2026-07-13 02:00:00,1.14046,1.14461,1.13777,1.13836,105699.53,1.13834
2026-07-12 02:00:00,1.14023,1.14105,1.13887,1.14045,4801.03,1.14043
2026-07-11 02:00:00,1.14198,1.14198,1.14198,1.14198,0.0,1.1416
2026-07-10 02:00:00,1.14333,1.1461,1.14117,1.14198,84337.34,1.1416
2026-07-09 02:00:00,1.14216,1.14495,1.14202,1.14333,71101.67,1.14331
2026-07-08 02:00:00,1.14018,1.14319,1.13914,1.14215,112563.23,1.14214
2026-07-07 02:00:00,1.14418,1.14476,1.14002,1.14017,79319.45,1.14015
2026-07-06 02:00:00,1.14368,1.14484,1.14085,1.14418,67684.44,1.14416
2026-07-05 02:00:00,1.14461,1.14461,1.14334,1.1437,17078.3293,1.14368
2026-07-04 02:00:00,1.1442,1.1442,1.1442,1.1442,0.0,1.14378
2026-07-03 02:00:00,1.14225,1.14626,1.14207,1.1442,71772.64,1.14378
2026-07-02 02:00:00,1.13777,1.14729,1.13753,1.14226,124077.14,1.14225
2026-07-01 02:00:00,1.14133,1.14143,1.1362,1.13777,100978.11,1.13775
2026-06-30 02:00:00,1.14194,1.14368,1.13829,1.14131,103552.64,1.1413
2026-06-29 02:00:00,1.13855,1.14307,1.13812,1.14195,91151.46,1.14192
2026-06-28 02:00:00,1.13964,1.13964,1.13819,1.13855,2827.76,1.13854
2026-06-27 02:00:00,1.13853,1.13853,1.13853,1.13853,0.0,1.1384
2026-06-26 02:00:00,1.13618,1.14343,1.13544,1.13853,100063.36,1.1384
2026-06-25 02:00:00,1.13543,1.13883,1.13336,1.13618,109500.8,1.13615
2026-06-24 02:00:00,1.13792,1.13824,1.13247,1.13541,110362.16,1.1354
2026-06-23 02:00:00,1.1427,1.14392,1.1376,1.13791,94585.72,1.1379
2026-06-22 02:00:00,1.14627,1.1474,1.14192,1.14271,99216.32,1.14268
2026-06-21 02:00:00,1.14682,1.14731,1.14581,1.14626,3994.69,1.14624
2026-06-20 02:00:00,1.14746,1.14746,1.14746,1.14746,0.0,1.14715
2026-06-19 02:00:00,1.14585,1.14809,1.1418,1.14746,73567.56,1.14715
2026-06-18 02:00:00,1.15072,1.15286,1.14515,1.14584,130482.83,1.14583
2026-06-17 02:00:00,1.161,1.16168,1.14781,1.15072,119261.03,1.1507
2026-06-16 02:00:00,1.15916,1.16199,1.1575,1.161,79858.85,1.16098
2026-06-15 02:00:00,1.16032,1.16222,1.15838,1.15914,83222.06,1.15912
2026-06-14 02:00:00,1.15799,1.16179,1.15755,1.16033,8748.31,1.1603
2026-06-13 02:00:00,1.15711,1.15711,1.15711,1.15711,0.0,1.15676
2026-06-12 02:00:00,1.15757,1.15898,1.15573,1.15711,113278.56,1.15676
2026-06-11 02:00:00,1.15356,1.15898,1.1503,1.15756,145114.83,1.15755
2026-06-10 02:00:00,1.15353,1.15734,1.15259,1.15355,128224.04,1.15354
2026-06-09 02:00:00,1.1528,1.15783,1.15272,1.15352,112503.22,1.15351
2026-06-08 02:00:00,1.15221,1.15549,1.15,1.15284,111784.67,1.15281
2026-06-07 02:00:00,1.15162,1.15231,1.15092,1.15222,4802.03,1.1522
2026-06-06 02:00:00,1.1525,1.1525,1.1525,1.1525,0.0,1.15222
2026-06-05 02:00:00,1.16125,1.16445,1.15182,1.1525,106941.53,1.15222
2026-06-04 02:00:00,1.16093,1.16453,1.15986,1.16126,75414.1467,1.16124
2026-06-03 02:00:00,1.16214,1.16338,1.15947,1.16093,88031.68,1.16091
2026-06-02 02:00:00,1.16357,1.16559,1.16137,1.16214,63973.92,1.16213
2026-06-01 02:00:00,1.16487,1.1665,1.1607,1.16356,95508.96,1.16354
2026-05-31 02:00:00,1.16588,1.16632,1.16487,1.16489,5452.33,1.16487
2026-05-30 02:00:00,1.1663,1.1663,1.1663,1.1663,0.0,1.16588
2026-05-29 02:00:00,1.16524,1.16861,1.1625,1.1663,86653.91,1.16588
2026-05-28 02:00:00,1.16176,1.16611,1.15865,1.16528,100837.33,1.16526
2026-05-27 02:00:00,1.16365,1.16615,1.16163,1.16177,96815.43,1.16175
2026-05-26 02:00:00,1.16363,1.16454,1.16164,1.16367,73004.91,1.16364
2026-05-25 02:00:00,1.16419,1.16532,1.16298,1.16361,55195.17,1.16358
2026-05-24 02:00:00,1.16389,1.16464,1.16316,1.16421,5539.239,1.16418
2026-05-23 02:00:00,1.16064,1.16064,1.16064,1.16064,0.0,1.16026
2026-05-22 02:00:00,1.16182,1.16193,1.15885,1.16064,79463.75,1.16026
2026-05-21 02:00:00,1.16252,1.16358,1.15765,1.16182,131835.03,1.1618
2026-05-20 02:00:00,1.16068,1.16452,1.15829,1.16251,116796.64,1.16248
2026-05-19 02:00:00,1.16549,1.16562,1.15923,1.1607,107430.26,1.16068
2026-05-18 02:00:00,1.16138,1.16623,1.16086,1.1655,115663.85,1.16548
2026-05-17 02:00:00,1.16268,1.16282,1.1612,1.16139,4557.58,1.16136
2026-05-16 02:00:00,1.16278,1.16278,1.16278,1.16278,0.0,1.16256
2026-05-15 02:00:00,1.16621,1.16638,1.16171,1.16278,106200.93,1.16256
2026-05-14 02:00:00,1.17157,1.17218,1.16616,1.16621,93247.7,1.16618
2026-05-13 02:00:00,1.17353,1.17421,1.16955,1.17161,78875.16,1.17159
2026-05-12 02:00:00,1.17787,1.17787,1.17219,1.17354,107203.57,1.17352
2026-05-11 02:00:00,1.17676,1.17881,1.17489,1.17787,77670.87,1.17786
2026-05-10 02:00:00,1.17521,1.17724,1.17501,1.17674,4908.35,1.17672
2026-05-09 02:00:00,1.17882,1.17882,1.17882,1.17882,0.0,1.1786
2026-05-08 02:00:00,1.17309,1.17889,1.17247,1.17882,103116.11,1.1786
