time,open,high,low,close,volume,mid
2026-08-30 02:00:00,1.39139,1.39145,1.38987,1.39011,2925.93,1.39004
2026-08-29 02:00:00,1.39077,1.39077,1.39077,1.39077,0.0,1.39036
2026-08-28 02:00:00,1.38523,1.39106,1.38437,1.39077,100497.53,1.39036
2026-08-27 02:00:00,1.38758,1.38918,1.38514,1.38523,90256.59,1.38516
2026-08-26 02:00:00,1.38378,1.38935,1.3837,1.38756,83355.1,1.38751
2026-08-25 02:00:00,1.38419,1.38677,1.38258,1.38378,106837.46,1.38372
2026-08-24 02:00:00,1.37934,1.38607,1.37834,1.38419,106937.79,1.38412
2026-08-23 02:00:00,1.3817,1.38207,1.37903,1.37935,4776.7,1.37928
2026-08-22 02:00:00,1.37622,1.37622,1.37622,1.37622,0.0,1.37574
2026-08-21 02:00:00,1.37826,1.37829,1.37328,1.37622,89993.64,1.37574
2026-08-20 02:00:00,1.38112,1.38133,1.37561,1.37827,104102.2,1.3782
2026-08-19 02:00:00,1.39,1.39087,1.38029,1.38114,147317.61,1.38107
2026-08-18 02:00:00,1.38712,1.39107,1.38621,1.38999,86034.44,1.38994
2026-08-17 02:00:00,1.38731,1.38796,1.38453,1.38713,82118.14,1.38706
2026-08-16 02:00:00,1.38821,1.38851,1.38707,1.38729,4179.57,1.38724
2026-08-15 02:00:00,1.38795,1.38795,1.38795,1.38795,0.0,1.38754
2026-08-14 02:00:00,1.39283,1.39311,1.3865,1.38795,94067.59,1.38754
2026-08-13 02:00:00,1.39417,1.39592,1.39277,1.39283,81290.34,1.39276
2026-08-12 02:00:00,1.39212,1.39477,1.39085,1.39419,68213.72,1.39412
2026-08-11 02:00:00,1.39347,1.39466,1.39157,1.39215,70654.51,1.39208
2026-08-10 02:00:00,1.39534,1.39646,1.39272,1.39348,71346.88,1.39342
2026-08-09 02:00:00,1.3956,1.39588,1.3943,1.39536,5014.19,1.39528
2026-08-08 02:00:00,1.39449,1.39449,1.39449,1.39449,0.0,1.39411
2026-08-07 02:00:00,1.40149,1.40298,1.39262,1.39449,111068.62,1.39411
2026-08-06 02:00:00,1.40112,1.40383,1.3991,1.40149,60577.13,1.40142
2026-08-05 02:00:00,1.40665,1.40809,1.40054,1.40114,78483.66,1.40108
2026-08-04 02:00:00,1.40475,1.408,1.40358,1.40666,90671.84,1.4066
2026-08-03 02:00:00,1.40142,1.40555,1.40056,1.40474,71887.89,1.40469
2026-08-02 02:00:00,1.40149,1.40185,1.40066,1.40142,8802.45,1.40137
2026-08-01 02:00:00,1.40268,1.40268,1.40268,1.40268,0.0,1.40228
2026-07-31 02:00:00,1.40124,1.40594,1.40042,1.40268,110260.45,1.40228
2026-07-30 02:00:00,1.40371,1.40685,1.39914,1.40124,106561.76,1.40119
2026-07-29 02:00:00,1.41075,1.41105,1.40239,1.4037,97266.64,1.40364
2026-07-28 02:00:00,1.41259,1.41296,1.40867,1.41073,60148.68,1.41066
2026-07-27 02:00:00,1.40878,1.41324,1.40714,1.41257,66604.25,1.41252
2026-07-26 02:00:00,1.40899,1.40987,1.40808,1.40879,3487.87,1.40872
2026-07-25 02:00:00,1.40977,1.40977,1.40977,1.40977,0.0,1.40962
2026-07-24 02:00:00,1.40863,1.41155,1.40668,1.40977,73129.2,1.40962
2026-07-23 02:00:00,1.40866,1.41004,1.40572,1.40862,75409.03,1.40856
2026-07-22 02:00:00,1.41064,1.4109,1.4077,1.40867,65084.51,1.40861
2026-07-21 02:00:00,1.40726,1.41161,1.40549,1.41063,74119.4,1.41056
2026-07-20 02:00:00,1.402,1.40942,1.40038,1.40723,64370.65,1.40718
